stationid,compname,time,Fotos_0_Link,Fotos_0_Thumb,subzahl,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,FotoAnzahl,meantype,value,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y,unit,valueclass,Fotos_1_Thumb,Fotos_1_Link,Fotos_2_Link,Fotos_2_Thumb,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Link,Fotos_5_Thumb,Fotos_6_Thumb,Fotos_6_Link,Fotos_7_Thumb,Fotos_7_Link,Fotos_8_Thumb,Fotos_8_Link
04:S432,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S432 nO.jpg,/pub/fotos/stations/thumbs/04S432 nO.jpg,1,Lenzing Hauptstraße,Park Hauptstraße/Stefan Fadinger-Straße,Amt der Oberösterreichischen Landesregierung,3.0,HMW,1,EPSG:31287,13.60892,485,47.97386,µg/m³,1,/pub/fotos/stations/thumbs/04S432 nS.jpg,/pub/fotos/stations/04S432 nS.jpg,/pub/fotos/stations/04S432 nSW.jpg,/pub/fotos/stations/thumbs/04S432 nSW.jpg,,,,,,,,,,,,
05:1200,Schwefeldioxid,5 Aug 2022 22:30:00 GMT+0100,/pub/fotos/stations/051200 nN.JPG,/pub/fotos/stations/thumbs/051200 nN.JPG,1,"Salzburg Lehener Park, Franz Martin-Straße 1",Franz Martin-Straße 1,Amt der Salzburger Landesregierung,4.0,HMW,1,EPSG:31287,13.03488,420,47.81565,µg/m³,1,/pub/fotos/stations/thumbs/051200 nO.jpg,/pub/fotos/stations/051200 nO.jpg,/pub/fotos/stations/051200 nS.jpg,/pub/fotos/stations/thumbs/051200 nS.jpg,/pub/fotos/stations/051200 nW.jpg,/pub/fotos/stations/thumbs/051200 nW.jpg,,,,,,,,,,
06:138,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06138 nN.JPG,/pub/fotos/stations/thumbs/06138 nN.JPG,1,Graz Nord Gösting,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",Amt der Steiermärkischen Landesregierung,3.0,HMW,1,EPSG:31287,15.4151111111111,355,47.0943611111,µg/m³,1,/pub/fotos/stations/thumbs/06138 nNW.JPG,/pub/fotos/stations/06138 nNW.JPG,/pub/fotos/stations/06138 nO.JPG,/pub/fotos/stations/thumbs/06138 nO.JPG,,,,,,,,,,,,
06:142,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06142 nNO.JPG,/pub/fotos/stations/thumbs/06142 nNO.JPG,1,Leoben Donawitz Kindergarten,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),Amt der Steiermärkischen Landesregierung,3.0,HMW,1,EPSG:31287,15.0745,555,47.37555555555556,µg/m³,1,/pub/fotos/stations/thumbs/06142 nO.JPG,/pub/fotos/stations/06142 nO.JPG,/pub/fotos/stations/06142 nW.JPG,/pub/fotos/stations/thumbs/06142 nW.JPG,,,,,,,,,,,,
06:151,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06151 nN.JPG,/pub/fotos/stations/thumbs/06151 nN.JPG,1,Bockberg,"Bockbergweg, Jöbstl-Arbeiter",Amt der Steiermärkischen Landesregierung,4.0,HMW,1,EPSG:31287,15.495833333333331,449,46.87138888888889,µg/m³,1,/pub/fotos/stations/thumbs/06151 nO.JPG,/pub/fotos/stations/06151 nO.JPG,/pub/fotos/stations/06151 nSO.JPG,/pub/fotos/stations/thumbs/06151 nSO.JPG,/pub/fotos/stations/06151 nW.JPG,/pub/fotos/stations/thumbs/06151 nW.JPG,,,,,,,,,,
06:164,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06164 nN.JPG,/pub/fotos/stations/thumbs/06164 nN.JPG,1,Graz Don Bosco,"Don-Bosco-Kirche, Kreuzung Kärntnerstraße - Alte Poststraße",Amt der Steiermärkischen Landesregierung,4.0,HMW,1,EPSG:31287,15.416603,358,47.055611,µg/m³,1,/pub/fotos/stations/thumbs/06164 nO.JPG,/pub/fotos/stations/06164 nO.JPG,/pub/fotos/stations/06164 nS.JPG,/pub/fotos/stations/thumbs/06164 nS.JPG,/pub/fotos/stations/06164 nW.JPG,/pub/fotos/stations/thumbs/06164 nW.JPG,,,,,,,,,,
06:179,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06179 nN.JPG,/pub/fotos/stations/thumbs/06179 nN.JPG,1,Hartberg Zentrum,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",Amt der Steiermärkischen Landesregierung,7.0,HMW,1,EPSG:31287,15.971852,349,47.28286,µg/m³,1,/pub/fotos/stations/thumbs/06179 nNO.JPG,/pub/fotos/stations/06179 nNO.JPG,/pub/fotos/stations/06179 nNW.JPG,/pub/fotos/stations/thumbs/06179 nNW.JPG,/pub/fotos/stations/06179 nO.JPG,/pub/fotos/stations/thumbs/06179 nO.JPG,/pub/fotos/stations/thumbs/06179 nSO.JPG,/pub/fotos/stations/06179 nSO.JPG,/pub/fotos/stations/06179 nSW.JPG,/pub/fotos/stations/thumbs/06179 nSW.JPG,/pub/fotos/stations/thumbs/06179 nW.JPG,/pub/fotos/stations/06179 nW.JPG,,,,
06:190,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06190 nN.JPG,/pub/fotos/stations/thumbs/06190 nN.JPG,1,Arnfels - Remschnigg,"Steirischer Possruck, Remschnigg, Isaak",Amt der Steiermärkischen Landesregierung,4.0,HMW,1,EPSG:31287,15.36778,785,46.65195,µg/m³,1,/pub/fotos/stations/thumbs/06190 nO.JPG,/pub/fotos/stations/06190 nO.JPG,/pub/fotos/stations/06190 nS.JPG,/pub/fotos/stations/thumbs/06190 nS.JPG,/pub/fotos/stations/06190 nW.JPG,/pub/fotos/stations/thumbs/06190 nW.JPG,,,,,,,,,,
07:2110,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/072110 nN.JPG,/pub/fotos/stations/thumbs/072110 nN.JPG,1,Innsbruck Zentrum - Fallmerayerstraße,Fallmerayerstraße Ecke Maximilianstrasse,Amt der Tiroler Landesregierung,4.0,HMW,1,EPSG:31287,11.3923611,577,47.2626194,µg/m³,1,/pub/fotos/stations/thumbs/072110 nO.JPG,/pub/fotos/stations/072110 nO.JPG,/pub/fotos/stations/072110 nS.JPG,/pub/fotos/stations/thumbs/072110 nS.JPG,/pub/fotos/stations/072110 nW.JPG,/pub/fotos/stations/thumbs/072110 nW.JPG,,,,,,,,,,
07:2519,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/072519 nN.JPG,/pub/fotos/stations/thumbs/072519 nN.JPG,1,Brixlegg Innweg,"Innweg, nördöstlich Gebäude Innweg 16 a",Amt der Tiroler Landesregierung,5.0,HMW,1,EPSG:31287,11.8718028,519,47.4285528,µg/m³,1,/pub/fotos/stations/thumbs/072519 nNO.JPG,/pub/fotos/stations/072519 nNO.JPG,/pub/fotos/stations/072519 nO.JPG,/pub/fotos/stations/thumbs/072519 nO.JPG,/pub/fotos/stations/072519 nS.JPG,/pub/fotos/stations/thumbs/072519 nS.JPG,/pub/fotos/stations/thumbs/072519 nW.JPG,/pub/fotos/stations/072519 nW.JPG,,,,,,,,
