,stationid,unit,compname,time,valueclass,MetaInfo_Name,MetaInfo_Owner,MetaInfo_Location,meantype,gml$Point_srsName,gml$Point_gml$coord_Z,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,value,subzahl
62,01:0003,µg/m³,Schwefeldioxid,1660069800000000000,1,Kittsee,Amt der Burgenländischen Landesregierung,Neurisse - Brunnenfeld ,HMW,EPSG:31287,136,17.0703159,48.1091532,4,1
63,04:S407,µg/m³,Schwefeldioxid,1660069800000000000,1,"Vöcklabruck, Untere Agergasse",Amt der Oberösterreichischen Landesregierung,Untere Agergasse 14,HMW,EPSG:31287,420,13.6676111,48.0008965,4,1
64,05:1066,µg/m³,Schwefeldioxid,1660069800000000000,1,Salzburg Mirabellplatz,Amt der Salzburger Landesregierung,Mirabellplatz,HMW,EPSG:31287,430,13.043333,47.8055556,4,1
65,05:2000,µg/m³,Schwefeldioxid,1660069800000000000,1,Hallein B159 Kreisverkehr Salzachtalstr./Europastr.,Amt der Salzburger Landesregierung,"Kreisverkehr Hagerkreuzung, S-Seite",HMW,EPSG:31287,440,13.09995,47.68259,4,1
66,01:0004,µg/m³,Schwefeldioxid,1660069800000000000,1,Bad Sauerbrunn,Amt der Burgenländischen Landesregierung,Freiwillige Feuerwehr,HMW,EPSG:31287,254,16.32875,47.77907,7,1
67,04:S416,µg/m³,Schwefeldioxid,1660069800000000000,1,Linz Neue Welt,Amt der Oberösterreichischen Landesregierung,"Wiener Straße 233, Straßenbahnstation Neue Welt",HMW,EPSG:31287,265,14.31479,48.27329,8,1
68,06:135,µg/m³,Schwefeldioxid,1660069800000000000,1,Straßengel Kirche,Amt der Steiermärkischen Landesregierung,Straßengel Kirche,HMW,EPSG:31287,454,15.339166666666667,47.113055555555555,8,1
69,04:S432,µg/m³,Schwefeldioxid,1660069800000000000,1,Lenzing Hauptstraße,Amt der Oberösterreichischen Landesregierung,Park Hauptstraße/Stefan Fadinger-Straße,HMW,EPSG:31287,485,13.60892,47.97386,13,1
0,05:5019,µg/m³,Ozon,1660069800000000000,NOCLASS,Zederhaus Lamm,Amt der Salzburger Landesregierung,Zederhaus Lamm,HMW,EPSG:31287,1140,13.54318,47.13378,63,1
1,01:0012,µg/m³,Ozon,1660037400000000000,NOCLASS,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),Amt der Burgenländischen Landesregierung,,HMW,EPSG:31287,,,,68,1
2,06:177,µg/m³,Ozon,1660069800000000000,NOCLASS,Liezen Pyhrnbach,Amt der Steiermärkischen Landesregierung,Alte Gasse 12,HMW,EPSG:31287,649,14.244676,47.565439,72,1
3,06:118,µg/m³,Ozon,1660069800000000000,NOCLASS,"Judenburg, Sportplatz",Amt der Steiermärkischen Landesregierung,"Stadionstraße, südlich des Sportplatzes",HMW,EPSG:31287,715,14.676666666666666,47.17833333333333,76,1
4,06:143,µg/m³,Ozon,1660069800000000000,NOCLASS,Leoben Zentrum,Amt der Steiermärkischen Landesregierung,"Roseggerstraße, hinter Stadtkai, Altersheim, Josefinum",HMW,EPSG:31287,543,15.0889,47.3823,78,1
5,06:189,µg/m³,Ozon,1660069800000000000,NOCLASS,Hochwurzen,Amt der Steiermärkischen Landesregierung,Seilbahn-Bergstation Hochwurzen,HMW,EPSG:31287,1852,13.639444444444443,47.36027777777778,81,1
6,07:2912,µg/m³,Ozon,1660069800000000000,NOCLASS,"Lienz Tristacher-See-Straße, Tiefbrunnen ",Amt der Tiroler Landesregierung,"Tristacher-See-Straße, Tiefbrunnen",HMW,EPSG:31287,681,12.766025,46.8191111,81,1
7,05:5032,µg/m³,Ozon,1660069800000000000,NOCLASS,Tamsweg Untere Postgasse,Amt der Salzburger Landesregierung,Parkplatz Untere Postgasse 2,HMW,EPSG:31287,1025,13.80804,47.12566,84,1
8,06:157,µg/m³,Ozon,1660069800000000000,NOCLASS,Grundlsee Tressensattel,Amt der Steiermärkischen Landesregierung,Sattel,HMW,EPSG:31287,980,13.796667,47.63056,84,1
9,06:196,µg/m³,Ozon,1660064400000000000,NOCLASS,Grebenzen bei St. Lambrecht,Amt der Steiermärkischen Landesregierung,Grebenzen Gipfel,HMW,EPSG:31287,1860,14.330725,47.040277777777774,84,1
10,04:S184,µg/m³,Ozon,1660069800000000000,NOCLASS,"Linz Stadtpark, Noßbergerstraße",Amt der Oberösterreichischen Landesregierung,"Noßbergerstraße, hinter Museumstraße 34a",HMW,EPSG:31287,260,14.297502777777778,48.30611944444444,85,1
11,02:SP10,µg/m³,Ozon,1660068000000000000,NOCLASS,Obervellach Schulzentrum,Amt der Kärntner Landesregierung,"Schulzentrum Obervellach-West 27, Dürnvellach",HMW,EPSG:31287,686,13.194533,46.935,86,1
12,06:107,µg/m³,Ozon,1660068000000000000,NOCLASS,Voitsberg Mühlgasse,Amt der Steiermärkischen Landesregierung,"Mühlgasse, Ecke Franz Josef-Straße",HMW,EPSG:31287,390,15.152777777777778,47.04472222222222,86,1
13,10:VOR1,µg/m³,Ozon,1660069800000000000,NOCLASS,Vorhegg bei Kötschach-Mauthen,Umweltbundesamt,"Kreuth 8b, Josef Zobernig",HMW,EPSG:31287,1010,12.972,46.6775,87,1
14,04:S416,µg/m³,Ozon,1660069800000000000,NOCLASS,Linz Neue Welt,Amt der Oberösterreichischen Landesregierung,"Wiener Straße 233, Straßenbahnstation Neue Welt",HMW,EPSG:31287,265,14.31479,48.27329,89,1
15,06:178,µg/m³,Ozon,1660069800000000000,NOCLASS,Weiz Bahnhofstraße,Amt der Steiermärkischen Landesregierung,Bahnhofstraße 7,HMW,EPSG:31287,459,15.628392,47.215703,89,1
16,10:SON1,µg/m³,Ozon,1660069800000000000,NOCLASS,Sonnblick,Umweltbundesamt,Wetterobservatorium Hoher Sonnblick,HMW,EPSG:31287,3106,12.9583,47.0541667,89,1
17,02:M805,µg/m³,Ozon,1660068000000000000,NOCLASS,Kraigerberg,Amt der Kärntner Landesregierung,Eggen,HMW,EPSG:31287,965,14.329763,46.824822,90,1
18,02:WO15,µg/m³,Ozon,1660068000000000000,NOCLASS,Wolfsberg Hauptschule,Amt der Kärntner Landesregierung,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",HMW,EPSG:31287,460,14.84346,46.834975,90,1
19,02:SP18,µg/m³,Ozon,1660068000000000000,NOCLASS,Spittal a. d. Drau Oktoberstraße,Amt der Kärntner Landesregierung,"10. Oktober-Strasse 9, Schulzentrum",HMW,EPSG:31287,560,13.49388888888888,46.8013888888888,92,1
20,05:6072,µg/m³,Ozon,1660069800000000000,NOCLASS,Zell am See Freizeitzentrum/Eishalle,Amt der Salzburger Landesregierung,"Freizeitzentrum, Steinergasse",HMW,EPSG:31287,775,12.795124,47.32664,92,1
21,04:S235,µg/m³,Ozon,1660068000000000000,NOCLASS,Feuerkogel (Höllengebirge),Amt der Oberösterreichischen Landesregierung,Feuerkogel 3,HMW,EPSG:31287,1602,13.720737,47.815855,93,1
22,06:150,µg/m³,Ozon,1660069800000000000,NOCLASS,Rennfeld,Amt der Steiermärkischen Landesregierung,Rennfeld-Gipfel,HMW,EPSG:31287,1610,15.360833333333333,47.40555555555555,93,1
23,10:ZOE2,µg/m³,Ozon,1660069800000000000,NOCLASS,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,Umweltbundesamt,"Zöbelboden, Wildwiese",HMW,EPSG:31287,899,14.44095,47.83828,93,1
24,03:0065,µg/m³,Ozon,1660069800000000000,NOCLASS,"Purkersdorf, Tullnerbachstraße",Amt der Niederösterreichischen Landesregierung,"Neukurkersdorf, Gemeindebauhof, Tullnerbachstraße (B44)",HMW,EPSG:31287,260,16.1434,48.1955,95,1
25,03:0801,µg/m³,Ozon,1660069800000000000,NOCLASS,Irnfritz - Rothweinsdorf,Amt der Niederösterreichischen Landesregierung,Rothweinsdorf,HMW,EPSG:31287,556,15.49842,48.72421,95,1
26,04:S125,µg/m³,Ozon,1660069800000000000,NOCLASS,"Bad Ischl, Rettenbachwaldstraße",Amt der Oberösterreichischen Landesregierung,Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),HMW,EPSG:31287,460,13.632222222222223,47.71611111111111,96,1
27,04:S432,µg/m³,Ozon,1660069800000000000,NOCLASS,Lenzing Hauptstraße,Amt der Oberösterreichischen Landesregierung,Park Hauptstraße/Stefan Fadinger-Straße,HMW,EPSG:31287,485,13.60892,47.97386,96,1
28,07:2106,µg/m³,Ozon,1660069800000000000,NOCLASS,Innsbruck Reichenau - Andechsstraße,Amt der Tiroler Landesregierung,Andechstrasse 21,HMW,EPSG:31287,570,11.4169445,47.27129,96,1
29,03:0103,µg/m³,Ozon,1660068000000000000,NOCLASS,Kollmitzberg,Amt der Niederösterreichischen Landesregierung,"Kollmitzberg, neben GH. Alpenblick",HMW,EPSG:31287,465,14.86505,48.179279,97,1
30,03:0104,µg/m³,Ozon,1660069800000000000,NOCLASS,"St. Valentin A1, Buchenstraße",Amt der Niederösterreichischen Landesregierung,"Attenhofen, Buchenstraße/Kaufpark",HMW,EPSG:31287,265,14.51954,48.19234,97,1
31,06:018,µg/m³,Ozon,1660069800000000000,NOCLASS,Graz Schloßberg,Amt der Steiermärkischen Landesregierung,"Schlossberg, südlich vom Glockenturm",HMW,EPSG:31287,450,15.4375,47.075833333333335,97,1
32,10:PIL1,µg/m³,Ozon,1660069800000000000,NOCLASS,Pillersdorf bei Retz,Umweltbundesamt,Am Öhlberg,HMW,EPSG:31287,315,15.93595,48.7212,97,1
33,03:0101,µg/m³,Ozon,1660069800000000000,NOCLASS,Amstetten,Amt der Niederösterreichischen Landesregierung,"Anzengruberstraße, Parkplatz vor der Schule",HMW,EPSG:31287,270,14.8788,48.1199,98,1
34,03:0502,µg/m³,Ozon,1660069800000000000,NOCLASS,Heidenreichstein Thaures,Amt der Niederösterreichischen Landesregierung,Thaures,HMW,EPSG:31287,570,15.04666667,48.8786111,98,1
35,03:2604,µg/m³,Ozon,1660069800000000000,NOCLASS,Kematen an der Ybbs,Amt der Niederösterreichischen Landesregierung,Gimpersdorf,HMW,EPSG:31287,330,14.772277777777779,48.04511111111111,98,1
36,02:KA71,µg/m³,Ozon,1660068000000000000,NOCLASS,Klagenfurt Sterneckstraße,Amt der Kärntner Landesregierung,Sterneckstraße (gegenüber Nr. 17),HMW,EPSG:31287,445,14.299144444444444,46.62661666666667,99,1
37,04:S108,µg/m³,Ozon,1660069800000000000,NOCLASS,Grünbach bei Freistadt,Amt der Oberösterreichischen Landesregierung,Oberrauchenödt Kirche St. Michael,HMW,EPSG:31287,918,14.574722222222,48.53111111,99,1
38,04:S404,µg/m³,Ozon,1660069800000000000,NOCLASS,Traun Tischlerstraße,Amt der Oberösterreichischen Landesregierung,Tischlerstrasse Kindergarten,HMW,EPSG:31287,274,14.23755,48.22535,99,1
39,04:S409,µg/m³,Ozon,1660069800000000000,NOCLASS,Steyr Münichholz,Amt der Oberösterreichischen Landesregierung,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",HMW,EPSG:31287,305,14.442777777777777,48.04944444444444,99,1
40,05:1066,µg/m³,Ozon,1660069800000000000,NOCLASS,Salzburg Mirabellplatz,Amt der Salzburger Landesregierung,Mirabellplatz,HMW,EPSG:31287,430,13.043333,47.8055556,99,1
41,05:2055,µg/m³,Ozon,1660069800000000000,NOCLASS,St. Koloman Kleinhorn,Amt der Salzburger Landesregierung,"Kleinhorn, Taugl 94, Familie Kurz",HMW,EPSG:31287,1005,13.232778,47.6502778,99,1
42,06:170,µg/m³,Ozon,1660069800000000000,NOCLASS,Graz Süd Tiergartenweg,Amt der Steiermärkischen Landesregierung,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",HMW,EPSG:31287,345,15.43308,47.04172,99,1
43,09:STEF,µg/m³,Ozon,1660069800000000000,NOCLASS,Stephansplatz,Gemeinde Wien - MA22 Umweltschutz,"Stephansdom, Kerzenkammer östlich des Südturmes, 1. Stock",HMW,EPSG:31287,172,16.3732536111111,48.20815,99,1
44,10:ENK1,µg/m³,Ozon,1660068000000000000,NOCLASS,Enzenkirchen im Sauwald,Umweltbundesamt,"Kriegen, Kapelle",HMW,EPSG:31287,525,13.67085,48.39167,99,1
45,01:0007,µg/m³,Ozon,1660069800000000000,NOCLASS,Pöttelsdorf,Amt der Burgenländischen Landesregierung,Berggasse,HMW,EPSG:31287,214,16.434389,47.749044,100,1
46,02:M121,µg/m³,Ozon,1660068000000000000,NOCLASS,Arnoldstein Gailitz Waldsiedlungsstraße,Amt der Kärntner Landesregierung,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",HMW,EPSG:31287,574,13.70345,46.5584,100,1
47,03:0701,µg/m³,Ozon,1660069800000000000,NOCLASS,Ziersdorf,Amt der Niederösterreichischen Landesregierung,Kläranlage Jubiläumssiedlung,HMW,EPSG:31287,230,15.94185,48.52832,100,1
