,stationid,compname,time,MetaInfo_Owner,MetaInfo_Name,MetaInfo_Location,meantype,subzahl,value,valueclass,unit,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y
52,09:SCHA,Schwefeldioxid,1659909600,Gemeinde Wien - MA22 Umweltschutz,Schafberg,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",HMW,1,2.0,1,µg/m³,EPSG:31287,16.301563,319.0,48.23537
53,01:0001,Schwefeldioxid,1659911400,Amt der Burgenländischen Landesregierung,Eisenstadt Laschoberstraße,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",HMW,1,3.0,1,µg/m³,EPSG:31287,16.52617,165.0,47.8401138
54,01:0003,Schwefeldioxid,1659911400,Amt der Burgenländischen Landesregierung,Kittsee,Neurisse - Brunnenfeld ,HMW,1,3.0,1,µg/m³,EPSG:31287,17.0703159,136.0,48.1091532
55,01:0004,Schwefeldioxid,1659844800,Amt der Burgenländischen Landesregierung,Bad Sauerbrunn,Freiwillige Feuerwehr,HMW,1,3.0,1,µg/m³,EPSG:31287,16.32875,254.0,47.77907
56,03:0601,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Klosterneuburg Meynertgasse,"Meynertgasse, südwestlich vom Wasserhochbehälter",HMW,1,3.0,1,µg/m³,EPSG:31287,16.31395,260.0,48.30246
57,03:0801,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Irnfritz - Rothweinsdorf,Rothweinsdorf,HMW,1,3.0,1,µg/m³,EPSG:31287,15.49842,556.0,48.72421
58,03:1401,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Mödling Bachgasse,Untere Bachgasse (Park vor Schule),HMW,1,3.0,1,µg/m³,EPSG:31287,16.3022222,215.0,48.0861111
59,03:2301,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,St. Pölten Eybnerstraße,"Eybnerstraße, hinter D. Gran-Str. 16, Sportpl. Sonderschule",HMW,1,3.0,1,µg/m³,EPSG:31287,15.6325,270.0,48.2116
60,04:S407,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,"Vöcklabruck, Untere Agergasse",Untere Agergasse 14,HMW,1,3.0,1,µg/m³,EPSG:31287,13.6676111,420.0,48.0008965
61,04:S416,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,Linz Neue Welt,"Wiener Straße 233, Straßenbahnstation Neue Welt",HMW,1,3.0,1,µg/m³,EPSG:31287,14.31479,265.0,48.27329
62,09:A23,Schwefeldioxid,1659909600,Gemeinde Wien - MA22 Umweltschutz,A23 Südosttangente/Wehlistraße,"Wehlistraße 366, Gstr.Nr.2157/250",HMW,1,3.0,1,µg/m³,EPSG:31287,16.43455,162.0,48.20306
63,09:STEF,Schwefeldioxid,1659909600,Gemeinde Wien - MA22 Umweltschutz,Stephansplatz,"Stephansdom, Kerzenkammer östlich des Südturmes, 1. Stock",HMW,1,3.0,1,µg/m³,EPSG:31287,16.3732536111111,172.0,48.20815
64,09:ZA,Schwefeldioxid,1659909600,Gemeinde Wien - MA22 Umweltschutz,Hohe Warte,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",HMW,1,3.0,1,µg/m³,EPSG:31287,16.357079,210.0,48.248993
65,03:2501,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Krems,"St.Paul-Gasse/Rechte Kremszeile 54, Sportplatz",HMW,1,4.0,1,µg/m³,EPSG:31287,15.619166,200.0,48.40861
66,03:2701,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,"Schwechat Sportplatz, Mühlgasse","Phönix-Sportplatz, Mühlgasse/Radetzkystraße",HMW,1,4.0,1,µg/m³,EPSG:31287,16.474444444444444,155.0,48.145
67,05:1066,Schwefeldioxid,1659909600,Amt der Salzburger Landesregierung,Salzburg Mirabellplatz,Mirabellplatz,HMW,1,5.0,1,µg/m³,EPSG:31287,13.043333,430.0,47.8055556
68,06:135,Schwefeldioxid,1659911400,Amt der Steiermärkischen Landesregierung,Straßengel Kirche,Straßengel Kirche,HMW,1,5.0,1,µg/m³,EPSG:31287,15.339166666666667,454.0,47.11305555555556
