,stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,value,unit,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner
75,06:107,Ozon,1659726000,15.15277777777778,47.04472222222222,390.0,EPSG:31287,1,HMW,49.0,µg/m³,NOCLASS,Voitsberg Mühlgasse,"Mühlgasse, Ecke Franz Josef-Straße",Amt der Steiermärkischen Landesregierung
76,01:0002,Ozon,1659726000,16.207863,47.339926,344.0,EPSG:31287,1,HMW,55.0,µg/m³,NOCLASS,Oberschützen,"Schützenstraße 85, Wirtschaftshof der Gemeinde ",Amt der Burgenländischen Landesregierung
77,08:2801,Ozon,1659726000,10.034324,47.128863,940.0,EPSG:31287,1,HMW,57.0,µg/m³,NOCLASS,Wald am Arlberg S16,"Außerwald, Arlbergstraße",Umweltinstitut des Landes Vorarlberg
78,07:2113,Ozon,1659726000,11.3746611,47.2699028,678.0,EPSG:31287,1,HMW,67.0,µg/m³,NOCLASS,Innsbruck Sadrach,Sadrach - Buttererbichl,Amt der Tiroler Landesregierung
79,02:WO15,Ozon,1659726000,14.84346,46.834975,460.0,EPSG:31287,1,HMW,69.0,µg/m³,NOCLASS,Wolfsberg Hauptschule,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",Amt der Kärntner Landesregierung
80,09:LOB,Ozon,1659726000,16.5256138888889,48.1620694444444,155.0,EPSG:31287,1,HMW,70.0,µg/m³,NOCLASS,Lobau,Lobau Grundwasserwerk,Gemeinde Wien - MA22 Umweltschutz
81,06:118,Ozon,1659726000,14.676666666666666,47.17833333333333,715.0,EPSG:31287,1,HMW,71.0,µg/m³,NOCLASS,"Judenburg, Sportplatz","Stadionstraße, südlich des Sportplatzes",Amt der Steiermärkischen Landesregierung
82,06:138,Ozon,1659726000,15.4151111111111,47.0943611111,355.0,EPSG:31287,1,HMW,72.0,µg/m³,NOCLASS,Graz Nord Gösting,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",Amt der Steiermärkischen Landesregierung
83,07:2530,Ozon,1659726000,12.066633,47.4885583,508.0,EPSG:31287,1,HMW,72.0,µg/m³,NOCLASS,Wörgl Stelzhamerstraße,Josef Stelzhamer-Straße / Joseph Haydn-Straße 4,Amt der Tiroler Landesregierung
84,10:VOR1,Ozon,1659726000,12.972,46.6775,1010.0,EPSG:31287,1,HMW,73.0,µg/m³,NOCLASS,Vorhegg bei Kötschach-Mauthen,"Kreuth 8b, Josef Zobernig",Umweltbundesamt
