stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,FotoAnzahl,value,unit,Fotos_0_Link,Fotos_0_Thumb,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,Fotos_1_Link,Fotos_1_Thumb,Fotos_2_Thumb,Fotos_2_Link,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Thumb,Fotos_5_Link,Fotos_6_Link,Fotos_6_Thumb,Fotos_7_Link,Fotos_7_Thumb,Fotos_8_Link,Fotos_8_Thumb
06:136,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.351111111111,47.12027777778,375.0,EPSG:31287,1,HMW,5.0,1.0,µg/m³,/pub/fotos/stations/06136 nN.JPG,/pub/fotos/stations/thumbs/06136 nN.JPG,1,Judendorf Süd,"Ringsiedlung, Murufer",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06136 nNW.JPG,/pub/fotos/stations/thumbs/06136 nNW.JPG,/pub/fotos/stations/thumbs/06136 nO.JPG,/pub/fotos/stations/06136 nO.JPG,/pub/fotos/stations/06136 nSO.JPG,/pub/fotos/stations/thumbs/06136 nSO.JPG,/pub/fotos/stations/thumbs/06136 nW.JPG,/pub/fotos/stations/06136 nW.JPG,,,,,,,,
06:138,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.4151111111111,47.0943611111,355.0,EPSG:31287,1,HMW,3.0,1.0,µg/m³,/pub/fotos/stations/06138 nN.JPG,/pub/fotos/stations/thumbs/06138 nN.JPG,1,Graz Nord Gösting,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06138 nNW.JPG,/pub/fotos/stations/thumbs/06138 nNW.JPG,/pub/fotos/stations/thumbs/06138 nO.JPG,/pub/fotos/stations/06138 nO.JPG,,,,,,,,,,,,
06:151,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.495833333333332,46.87138888888889,449.0,EPSG:31287,1,HMW,4.0,1.0,µg/m³,/pub/fotos/stations/06151 nN.JPG,/pub/fotos/stations/thumbs/06151 nN.JPG,1,Bockberg,"Bockbergweg, Jöbstl-Arbeiter",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06151 nO.JPG,/pub/fotos/stations/thumbs/06151 nO.JPG,/pub/fotos/stations/thumbs/06151 nSO.JPG,/pub/fotos/stations/06151 nSO.JPG,/pub/fotos/stations/06151 nW.JPG,/pub/fotos/stations/thumbs/06151 nW.JPG,,,,,,,,,,
06:156,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.882222,47.34806,1180.0,EPSG:31287,1,HMW,6.0,1.0,µg/m³,/pub/fotos/stations/06156 nN.jpg,/pub/fotos/stations/thumbs/06156 nN.jpg,1,Masenberg,"Masenberg, Sender oberhalb von Waldhansl",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06156 nNW.JPG,/pub/fotos/stations/thumbs/06156 nNW.JPG,/pub/fotos/stations/thumbs/06156 nS.JPG,/pub/fotos/stations/06156 nS.JPG,/pub/fotos/stations/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSW.JPG,/pub/fotos/stations/06156 nSW.JPG,/pub/fotos/stations/thumbs/06156 nW.JPG,/pub/fotos/stations/06156 nW.JPG,,,,,,
06:179,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.971852,47.28286,349.0,EPSG:31287,1,HMW,7.0,1.0,µg/m³,/pub/fotos/stations/06179 nN.JPG,/pub/fotos/stations/thumbs/06179 nN.JPG,1,Hartberg Zentrum,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06179 nNO.JPG,/pub/fotos/stations/thumbs/06179 nNO.JPG,/pub/fotos/stations/thumbs/06179 nNW.JPG,/pub/fotos/stations/06179 nNW.JPG,/pub/fotos/stations/06179 nO.JPG,/pub/fotos/stations/thumbs/06179 nO.JPG,/pub/fotos/stations/thumbs/06179 nSO.JPG,/pub/fotos/stations/06179 nSO.JPG,/pub/fotos/stations/thumbs/06179 nSW.JPG,/pub/fotos/stations/06179 nSW.JPG,/pub/fotos/stations/06179 nW.JPG,/pub/fotos/stations/thumbs/06179 nW.JPG,,,,
06:185,Schwefeldioxid,5 Aug 2022 18:30:00 GMT+0100,15.956111,46.7675,415.0,EPSG:31287,1,HMW,4.0,1.0,µg/m³,/pub/fotos/stations/06185 nN.jpg,/pub/fotos/stations/thumbs/06185 nN.jpg,1,Klöch bei Bad Radkersburg,"Seindl, Dissay-Weg",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06185 nO.jpg,/pub/fotos/stations/thumbs/06185 nO.jpg,/pub/fotos/stations/thumbs/06185 nSO.jpg,/pub/fotos/stations/06185 nSO.jpg,/pub/fotos/stations/06185 nSW.jpg,/pub/fotos/stations/thumbs/06185 nSW.jpg,,,,,,,,,,
07:2110,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,11.3923611,47.2626194,577.0,EPSG:31287,1,HMW,4.0,1.0,µg/m³,/pub/fotos/stations/072110 nN.JPG,/pub/fotos/stations/thumbs/072110 nN.JPG,1,Innsbruck Zentrum - Fallmerayerstraße,Fallmerayerstraße Ecke Maximilianstrasse,Amt der Tiroler Landesregierung,/pub/fotos/stations/072110 nO.JPG,/pub/fotos/stations/thumbs/072110 nO.JPG,/pub/fotos/stations/thumbs/072110 nS.JPG,/pub/fotos/stations/072110 nS.JPG,/pub/fotos/stations/072110 nW.JPG,/pub/fotos/stations/thumbs/072110 nW.JPG,,,,,,,,,,
07:2519,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,11.8718028,47.4285528,519.0,EPSG:31287,1,HMW,5.0,1.0,µg/m³,/pub/fotos/stations/072519 nN.JPG,/pub/fotos/stations/thumbs/072519 nN.JPG,1,Brixlegg Innweg,"Innweg, nördöstlich Gebäude Innweg 16 a",Amt der Tiroler Landesregierung,/pub/fotos/stations/072519 nNO.JPG,/pub/fotos/stations/thumbs/072519 nNO.JPG,/pub/fotos/stations/thumbs/072519 nO.JPG,/pub/fotos/stations/072519 nO.JPG,/pub/fotos/stations/072519 nS.JPG,/pub/fotos/stations/thumbs/072519 nS.JPG,/pub/fotos/stations/thumbs/072519 nW.JPG,/pub/fotos/stations/072519 nW.JPG,,,,,,,,
10:ENK1,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,13.67085,48.39167,525.0,EPSG:31287,1,HMW,4.0,1.0,µg/m³,/pub/fotos/stations/10ENK1 nN.JPG,/pub/fotos/stations/thumbs/10ENK1 nN.JPG,1,Enzenkirchen im Sauwald,"Kriegen, Kapelle",Umweltbundesamt,/pub/fotos/stations/10ENK1 nO.JPG,/pub/fotos/stations/thumbs/10ENK1 nO.JPG,/pub/fotos/stations/thumbs/10ENK1 nSO.JPG,/pub/fotos/stations/10ENK1 nSO.JPG,/pub/fotos/stations/10ENK1 nW.JPG,/pub/fotos/stations/thumbs/10ENK1 nW.JPG,,,,,,,,,,
10:PIL1,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.93595,48.7212,315.0,EPSG:31287,1,HMW,4.0,1.0,µg/m³,/pub/fotos/stations/10PIL1 nN.jpg,/pub/fotos/stations/thumbs/10PIL1 nN.jpg,1,Pillersdorf bei Retz,Am Öhlberg,Umweltbundesamt,/pub/fotos/stations/10PIL1 nONO.jpg,/pub/fotos/stations/thumbs/10PIL1 nONO.jpg,/pub/fotos/stations/thumbs/10PIL1 nSO.jpg,/pub/fotos/stations/10PIL1 nSO.jpg,/pub/fotos/stations/10PIL1 nW.jpg,/pub/fotos/stations/thumbs/10PIL1 nW.jpg,,,,,,,,,,
